iter	Passed	Remaining
0	34	34502
1	49	24681
2	67	22327
3	83	20752
4	97	19405
5	112	18563
6	127	18032
7	142	17679
8	156	17197
9	170	16894
10	184	16577
11	198	16302
12	211	16070
13	225	15912
14	239	15730
15	254	15621
16	267	15456
17	280	15329
18	294	15190
19	307	15078
20	320	14960
21	333	14834
22	347	14747
23	360	14671
24	374	14593
25	387	14501
26	404	14582
27	420	14599
28	434	14560
29	448	14513
30	462	14472
31	477	14429
32	490	14362
33	504	14332
34	519	14333
35	533	14288
36	547	14256
37	562	14231
38	575	14169
39	588	14124
40	601	14062
41	613	14004
42	626	13946
43	640	13919
44	654	13895
45	668	13865
46	681	13816
47	694	13783
48	707	13731
49	719	13679
50	732	13622
51	744	13566
52	754	13486
53	767	13445
54	780	13415
55	795	13404
56	809	13390
57	823	13378
58	836	13346
59	850	13324
60	864	13313
61	879	13308
62	894	13298
63	907	13278
64	921	13257
65	938	13275
66	953	13279
67	967	13261
68	981	13239
69	996	13234
70	1009	13203
71	1022	13178
72	1034	13140
73	1047	13104
74	1060	13085
75	1074	13057
76	1087	13036
77	1103	13047
78	1116	13020
79	1129	12991
80	1142	12967
81	1156	12950
82	1170	12932
83	1184	12918
84	1247	13431
85	1294	13761
86	1318	13836
87	1355	14043
88	1366	13988
89	1378	13938
90	1392	13906
91	1405	13868
92	1417	13826
93	1429	13776
94	1441	13728
95	1452	13682
96	1465	13641
97	1476	13592
98	1489	13554
99	1501	13515
100	1513	13474
101	1525	13431
102	1538	13395
103	1550	13355
104	1561	13305
105	1571	13251
106	1582	13208
107	1592	13153
108	1603	13111
109	1615	13069
110	1627	13030
111	1638	12991
112	1652	12968
113	1664	12935
114	1675	12893
115	1687	12863
116	1700	12836
117	1712	12803
118	1724	12765
119	1735	12729
120	1747	12697
121	1759	12661
122	1771	12630
123	1784	12603
124	1796	12577
125	1807	12540
126	1818	12503
127	1831	12477
128	1843	12448
129	1854	12412
130	1865	12377
131	1877	12347
132	1889	12314
133	1900	12280
134	1911	12250
135	1923	12221
136	1936	12201
137	1948	12173
138	1960	12140
139	1971	12109
140	1982	12080
141	1996	12064
142	2009	12044
143	2022	12022
144	2034	11994
145	2049	11987
146	2060	11959
147	2073	11934
148	2084	11907
149	2097	11883
150	2109	11859
151	2121	11837
152	2134	11814
153	2147	11797
154	2160	11775
155	2174	11763
156	2190	11759
157	2203	11744
158	2218	11732
159	2230	11711
160	2242	11684
161	2254	11661
162	2266	11637
163	2277	11611
164	2290	11591
165	2302	11569
166	2315	11548
167	2329	11534
168	2342	11516
169	2355	11500
170	2367	11477
171	2379	11455
172	2392	11435
173	2404	11415
174	2416	11392
175	2428	11369
176	2440	11346
177	2453	11331
178	2466	11315
179	2479	11294
180	2492	11276
181	2504	11255
182	2518	11242
183	2530	11221
184	2542	11202
185	2555	11185
186	2569	11172
187	2583	11156
188	2596	11143
189	2613	11141
190	2630	11141
191	2644	11129
192	2658	11114
193	2672	11102
194	2685	11087
195	2699	11075
196	2715	11068
197	2731	11062
198	2744	11048
199	2759	11037
200	2773	11026
201	2789	11017
202	2803	11005
203	2817	10995
204	2832	10983
205	2846	10970
206	2861	10960
207	2875	10948
208	2888	10932
209	2903	10921
210	2916	10906
211	2929	10887
212	2942	10871
213	2955	10855
214	2968	10837
215	2982	10824
216	2995	10807
217	3011	10801
218	3025	10789
219	3038	10774
220	3051	10757
221	3063	10735
222	3076	10719
223	3090	10706
224	3103	10688
225	3115	10671
226	3128	10652
227	3140	10635
228	3154	10619
229	3167	10605
230	3180	10588
231	3193	10571
232	3204	10550
233	3218	10535
234	3231	10520
235	3246	10509
236	3261	10500
237	3275	10486
238	3290	10478
239	3305	10466
240	3319	10453
241	3333	10440
242	3346	10425
243	3359	10408
244	3372	10394
245	3387	10383
246	3403	10374
247	3415	10357
248	3429	10343
249	3442	10327
250	3456	10314
251	3473	10308
252	3489	10301
253	3502	10287
254	3517	10277
255	3530	10261
256	3544	10247
257	3556	10229
258	3569	10213
259	3582	10197
260	3595	10181
261	3609	10168
262	3623	10154
263	3636	10137
264	3649	10122
265	3664	10111
266	3678	10098
267	3692	10086
268	3707	10075
